t0,n,m,k,h,eX,eVar,eTime,tU,tVar,tDiff,tTime,nU,nVar,nDiff,nTime
1707132786.5456893,26,375,10,4,1.72954E-14,1.22989E-15,9.036064147949219e-05,1.84042E-14,1.26504E-15,0.06,9.298324584960938e-06,5.12898E-13,1.91482E-14,28.66,1.9073486328125e-06
1707132786.5529816,27,390,10,4,1.78717E-14,5.76286E-16,9.489059448242188e-05,1.89725E-14,5.68286E-16,0.06,9.298324584960938e-06,5.33413E-13,2.05159E-14,28.85,1.9073486328125e-06
1707132786.5610447,28,404,10,4,1.91164E-14,1.24472E-15,9.894371032714844e-05,2.02496E-14,1.27708E-15,0.06,8.58306884765625e-06,5.52562E-13,1.91482E-14,27.91,2.1457672119140625e-06
1707132786.5689387,29,418,10,4,2.03780E-14,1.26159E-15,0.00010037422180175781,2.15422E-14,1.29258E-15,0.06,9.059906005859375e-06,5.71710E-13,1.91482E-14,27.06,1.9073486328125e-06
1707132786.577589,30,433,10,4,2.09470E-14,5.68951E-16,0.00010442733764648438,2.21016E-14,5.59458E-16,0.06,9.298324584960938e-06,5.92226E-13,2.05159E-14,27.27,1.9073486328125e-06
1707132786.5864553,31,447,10,4,2.22197E-14,1.27270E-15,0.00011181831359863281,2.34031E-14,1.30146E-15,0.05,8.821487426757812e-06,6.11374E-13,1.91482E-14,26.51,2.1457672119140625e-06
1707132786.5956519,32,462,10,4,2.27854E-14,5.65723E-16,0.00011420249938964844,2.39591E-14,5.56063E-16,0.05,9.298324584960938e-06,6.31890E-13,2.05159E-14,26.73,2.1457672119140625e-06
1707132786.6052802,33,476,10,4,2.40677E-14,1.28236E-15,0.00012111663818359375,2.52683E-14,1.30919E-15,0.05,9.059906005859375e-06,6.51038E-13,1.91482E-14,26.05,2.1457672119140625e-06
1707132786.6151485,34,491,10,4,2.46304E-14,5.62634E-16,0.00012445449829101562,2.58212E-14,5.52899E-16,0.05,9.059906005859375e-06,6.71554E-13,2.05159E-14,26.27,1.9073486328125e-06
1707132786.6258006,35,505,10,4,2.59212E-14,1.29085E-15,0.0001266002655029297,2.71372E-14,1.31597E-15,0.05,9.5367431640625e-06,6.90702E-13,1.91482E-14,25.65,1.9073486328125e-06
1707132786.6364868,36,519,10,4,2.72240E-14,1.30278E-15,0.0001366138458251953,2.84642E-14,1.32701E-15,0.05,9.5367431640625e-06,7.09850E-13,1.91482E-14,25.07,2.1457672119140625e-06
1707132786.6472826,37,534,10,4,2.77793E-14,5.55265E-16,0.0001380443572998047,2.90091E-14,5.44921E-16,0.04,9.298324584960938e-06,7.30366E-13,2.05159E-14,25.29,2.1457672119140625e-06
1707132786.6587398,38,548,10,4,2.90887E-14,1.30940E-15,0.00014162063598632812,3.03413E-14,1.33221E-15,0.04,9.059906005859375e-06,7.49514E-13,1.91482E-14,24.77,2.384185791015625e-06
1707132786.6705906,39,563,10,4,2.96412E-14,5.52555E-16,0.00014734268188476562,3.08837E-14,5.42323E-16,0.04,9.775161743164062e-06,7.70030E-13,2.05159E-14,24.98,2.1457672119140625e-06
1707132786.683216,40,577,10,4,3.09565E-14,1.31531E-15,0.0001506805419921875,3.22205E-14,1.33686E-15,0.04,1.0013580322265625e-05,7.89178E-13,1.91482E-14,24.49,2.1457672119140625e-06
1707132786.6954913,41,592,10,4,3.15065E-14,5.50006E-16,0.00015473365783691406,3.27604E-14,5.39910E-16,0.04,1.0251998901367188e-05,8.09694E-13,2.05159E-14,24.7,2.1457672119140625e-06
1707132786.7086368,42,606,10,4,3.28272E-14,1.32062E-15,0.00016236305236816406,3.41015E-14,1.34104E-15,0.04,9.775161743164062e-06,8.28842E-13,1.91482E-14,24.25,1.9073486328125e-06
1707132786.7225366,43,620,10,4,3.41568E-14,1.32968E-15,0.0001647472381591797,3.54509E-14,1.34947E-15,0.04,1.0013580322265625e-05,8.47991E-13,1.91482E-14,23.83,2.1457672119140625e-06
1707132786.7359254,44,635,10,4,3.47002E-14,5.43338E-16,0.00017452239990234375,3.59839E-14,5.33009E-16,0.04,9.5367431640625e-06,8.68507E-13,2.05159E-14,24.03,1.9073486328125e-06
1707132786.7501516,45,649,10,4,3.60341E-14,1.33393E-15,0.000179290771484375,3.73367E-14,1.35276E-15,0.04,9.775161743164062e-06,8.87655E-13,1.91482E-14,23.63,2.384185791015625e-06
1707132786.7644656,46,664,10,4,3.65753E-14,5.41191E-16,0.00018477439880371094,3.78678E-14,5.31065E-16,0.04,1.0013580322265625e-05,9.08171E-13,2.05159E-14,23.83,2.1457672119140625e-06
1707132786.7799547,47,678,10,4,3.79131E-14,1.33779E-15,0.0001938343048095703,3.92235E-14,1.35574E-15,0.03,1.0251998901367188e-05,9.27319E-13,1.91482E-14,23.46,1.9073486328125e-06
1707132786.7953472,48,692,10,4,3.92585E-14,1.34543E-15,0.00019431114196777344,4.05864E-14,1.36287E-15,0.03,9.775161743164062e-06,9.46467E-13,1.91482E-14,23.11,2.1457672119140625e-06
1707132786.8109026,49,707,10,4,3.97936E-14,5.35068E-16,0.00020456314086914062,4.11112E-14,5.24856E-16,0.03,9.775161743164062e-06,9.66983E-13,2.05159E-14,23.3,2.1457672119140625e-06
1707132786.8275678,50,721,10,4,4.11421E-14,1.34855E-15,0.0002067089080810547,4.24765E-14,1.36524E-15,0.03,9.5367431640625e-06,9.86131E-13,1.91482E-14,22.97,1.9073486328125e-06
1707132786.8438392,51,736,10,4,4.16754E-14,5.33285E-16,0.00021123886108398438,4.29998E-14,5.23303E-16,0.03,9.775161743164062e-06,1.00665E-12,2.05159E-14,23.15,2.384185791015625e-06
1707132786.86197,52,750,10,4,4.30268E-14,1.35142E-15,0.0002117156982421875,4.43672E-14,1.36741E-15,0.03,1.0013580322265625e-05,1.02580E-12,1.91482E-14,22.84,1.9073486328125e-06
1707132786.8790448,53,765,10,4,4.35584E-14,5.31607E-16,0.00022101402282714844,4.48890E-14,5.21850E-16,0.03,9.775161743164062e-06,1.04631E-12,2.05159E-14,23.02,2.1457672119140625e-06
1707132786.8971796,54,779,10,4,4.49125E-14,1.35407E-15,0.0002269744873046875,4.62585E-14,1.36942E-15,0.03,9.5367431640625e-06,1.06546E-12,1.91482E-14,22.72,2.1457672119140625e-06
1707132786.9155095,55,793,10,4,4.62728E-14,1.36032E-15,0.00023627281188964844,4.76337E-14,1.37528E-15,0.03,1.0013580322265625e-05,1.08461E-12,1.91482E-14,22.44,2.384185791015625e-06
1707132786.934393,56,808,10,4,4.67991E-14,5.26224E-16,0.00023984909057617188,4.81502E-14,5.16479E-16,0.03,9.775161743164062e-06,1.10512E-12,2.05159E-14,22.61,1.9073486328125e-06
1707132786.9544733,57,822,10,4,4.81615E-14,1.36248E-15,0.0002446174621582031,4.95271E-14,1.37689E-15,0.03,9.5367431640625e-06,1.12427E-12,1.91482E-14,22.34,2.1457672119140625e-06
1707132786.9736192,58,837,10,4,4.86864E-14,5.24839E-16,0.0002505779266357422,5.00424E-14,5.15322E-16,0.03,9.775161743164062e-06,1.14479E-12,2.05159E-14,22.51,2.384185791015625e-06
1707132786.9944253,59,851,10,4,5.00509E-14,1.36449E-15,0.00025582313537597656,5.14208E-14,1.37837E-15,0.03,9.5367431640625e-06,1.16394E-12,1.91482E-14,22.26,2.384185791015625e-06
1707132787.0146286,60,866,10,4,5.05744E-14,5.23531E-16,0.0002646446228027344,5.19350E-14,5.14234E-16,0.03,9.775161743164062e-06,1.18445E-12,2.05159E-14,22.42,2.384185791015625e-06
1707132787.0369654,61,880,10,4,5.19408E-14,1.36637E-15,0.0002701282501220703,5.33148E-14,1.37976E-15,0.03,1.0251998901367188e-05,1.20360E-12,1.91482E-14,22.17,2.1457672119140625e-06
1707132787.0581288,62,894,10,4,5.33124E-14,1.37163E-15,0.0002753734588623047,5.46995E-14,1.38472E-15,0.03,9.775161743164062e-06,1.22275E-12,1.91482E-14,21.94,2.1457672119140625e-06
1707132787.0803015,63,909,10,4,5.38312E-14,5.18779E-16,0.00028228759765625,5.52091E-14,5.09542E-16,0.03,1.0013580322265625e-05,1.24326E-12,2.05159E-14,22.1,1.9073486328125e-06
1707132787.10313,64,923,10,4,5.52043E-14,1.37317E-15,0.00029277801513671875,5.65949E-14,1.38583E-15,0.03,9.775161743164062e-06,1.26241E-12,1.91482E-14,21.87,1.9073486328125e-06
1707132787.1270623,65,938,10,4,5.57220E-14,5.17701E-16,0.0002987384796142578,5.71036E-14,5.08679E-16,0.02,1.0013580322265625e-05,1.28293E-12,2.05159E-14,22.02,2.1457672119140625e-06
1707132787.1506946,66,952,10,4,5.70967E-14,1.37462E-15,0.0003006458282470703,5.84905E-14,1.38687E-15,0.02,9.5367431640625e-06,1.30208E-12,1.91482E-14,21.8,2.384185791015625e-06
1707132787.1744058,67,967,10,4,5.76133E-14,5.16680E-16,0.0003075599670410156,5.89983E-14,5.07863E-16,0.02,9.775161743164062e-06,1.32259E-12,2.05159E-14,21.96,2.1457672119140625e-06
1707132787.1991334,68,981,10,4,5.89893E-14,1.37598E-15,0.00031685829162597656,6.03862E-14,1.38785E-15,0.02,9.775161743164062e-06,1.34174E-12,1.91482E-14,21.75,2.384185791015625e-06
1707132787.2239802,69,995,10,4,6.03698E-14,1.38051E-15,0.00032401084899902344,6.17783E-14,1.39214E-15,0.02,9.298324584960938e-06,1.36089E-12,1.91482E-14,21.54,2.384185791015625e-06
1707132787.2501986,70,1010,10,4,6.08823E-14,5.12457E-16,0.0003285408020019531,6.22820E-14,5.03721E-16,0.02,9.5367431640625e-06,1.38140E-12,2.05159E-14,21.69,2.1457672119140625e-06
1707132787.2766316,71,1024,10,4,6.22639E-14,1.38163E-15,0.0003368854522705078,6.36749E-14,1.39292E-15,0.02,9.5367431640625e-06,1.40055E-12,1.91482E-14,21.49,2.1457672119140625e-06
1707132787.3028145,72,1039,10,4,6.27755E-14,5.11617E-16,0.00034236907958984375,6.41780E-14,5.03078E-16,0.02,1.0013580322265625e-05,1.42107E-12,2.05159E-14,21.64,2.1457672119140625e-06
1707132787.3305736,73,1053,10,4,6.41582E-14,1.38269E-15,0.00035691261291503906,6.55717E-14,1.39365E-15,0.02,9.775161743164062e-06,1.44022E-12,1.91482E-14,21.45,2.384185791015625e-06
1707132787.3588262,74,1068,10,4,6.46690E-14,5.10818E-16,0.00035834312438964844,6.60741E-14,5.02467E-16,0.02,1.0013580322265625e-05,1.46073E-12,2.05159E-14,21.59,2.1457672119140625e-06
1707132787.388443,75,1082,10,4,6.60527E-14,1.38369E-15,0.00037026405334472656,6.74685E-14,1.39434E-15,0.02,1.0013580322265625e-05,1.47988E-12,1.91482E-14,21.4,2.384185791015625e-06
1707132787.4169903,76,1096,10,4,6.74404E-14,1.38765E-15,0.0003845691680908203,6.88666E-14,1.39811E-15,0.02,1.0251998901367188e-05,1.49903E-12,1.91482E-14,21.23,2.1457672119140625e-06
1707132787.4463735,77,1111,10,4,6.79474E-14,5.07037E-16,0.0003895759582519531,6.93654E-14,4.98776E-16,0.02,1.0251998901367188e-05,1.51954E-12,2.05159E-14,21.36,2.1457672119140625e-06
1707132787.4776158,78,1125,10,4,6.93359E-14,1.38848E-15,0.0003972053527832031,7.07640E-14,1.39866E-15,0.02,1.0251998901367188e-05,1.53869E-12,1.91482E-14,21.19,2.1457672119140625e-06
1707132787.508669,79,1140,10,4,6.98423E-14,5.06383E-16,0.0003960132598876953,7.12623E-14,4.98300E-16,0.02,1.049041748046875e-05,1.55921E-12,2.05159E-14,21.32,1.9073486328125e-06
1707132787.5404835,80,1154,10,4,7.12315E-14,1.38926E-15,0.0004088878631591797,7.26615E-14,1.39918E-15,0.02,9.775161743164062e-06,1.57836E-12,1.91482E-14,21.16,2.384185791015625e-06
1707132787.5719988,81,1169,10,4,7.17373E-14,5.05759E-16,0.0004208087921142578,7.31594E-14,4.97847E-16,0.02,1.0251998901367188e-05,1.59887E-12,2.05159E-14,21.29,2.384185791015625e-06
1707132787.6054213,82,1183,10,4,7.31273E-14,1.39001E-15,0.0004279613494873047,7.45590E-14,1.39967E-15,0.02,1.0013580322265625e-05,1.61802E-12,1.91482E-14,21.13,1.9073486328125e-06
1707132787.639314,83,1197,10,4,7.45208E-14,1.39353E-15,0.0004305839538574219,7.59621E-14,1.40303E-15,0.02,9.775161743164062e-06,1.63717E-12,1.91482E-14,20.97,2.1457672119140625e-06
1707132787.6728404,84,1212,10,4,7.50232E-14,5.02348E-16,0.0004382133483886719,7.64566E-14,4.94528E-16,0.02,9.775161743164062e-06,1.65768E-12,2.05159E-14,21.1,2.1457672119140625e-06
1707132787.7083323,85,1226,10,4,7.64173E-14,1.39414E-15,0.00044608116149902344,7.78600E-14,1.40341E-15,0.02,1.0251998901367188e-05,1.67683E-12,1.91482E-14,20.94,2.384185791015625e-06
1707132787.7435226,86,1241,10,4,7.69192E-14,5.01840E-16,0.0004551410675048828,7.83542E-14,4.94182E-16,0.02,1.0251998901367188e-05,1.69735E-12,2.05159E-14,21.07,2.1457672119140625e-06
1707132787.7809198,87,1255,10,4,7.83139E-14,1.39472E-15,0.0004639625549316406,7.97580E-14,1.40377E-15,0.02,1.0251998901367188e-05,1.71650E-12,1.91482E-14,20.92,2.1457672119140625e-06
1707132787.817305,88,1270,10,4,7.88152E-14,5.01354E-16,0.0004773139953613281,8.02518E-14,4.93850E-16,0.02,1.0251998901367188e-05,1.73701E-12,2.05159E-14,21.04,1.9073486328125e-06
1707132787.8557863,89,1284,10,4,8.02105E-14,1.39528E-15,0.0004792213439941406,8.16559E-14,1.40412E-15,0.02,1.0728836059570312e-05,1.75616E-12,1.91482E-14,20.89,1.9073486328125e-06
1707132787.8935125,90,1298,10,4,8.16089E-14,1.39844E-15,0.0004906654357910156,8.30631E-14,1.40714E-15,0.02,9.775161743164062e-06,1.77531E-12,1.91482E-14,20.75,2.384185791015625e-06
